order_id,date,customer,region,product,quantity,unit_price,status
1001,2024-01-15,Ana Silva,EU,Widget,12,4.99,paid
1002,2024-01-16,Sidd Chirkute,AS,Gadget,3,12.50,paid
1003,2024-01-18,Marco Rossi,EU,Doohickey,50,1.25,pending
1004,2024-01-22,Ana Silva,EU,Widget,8,4.99,paid
1005,2024-02-02,Zara Khan,US,Sprocket,2,89.00,refunded
1006,2024-02-05,Sidd Chirkute,AS,Widget,25,4.99,paid
1007,2024-02-11,Priya Nair,AS,Gadget,7,12.50,paid
1008,2024-02-14,Marco Rossi,EU,Sprocket,1,89.00,paid
1009,2024-02-28,Tom Becker,EU,Doohickey,120,1.25,paid
1010,2024-03-03,Ana Silva,EU,Gadget,4,12.50,pending
1011,2024-03-09,Zara Khan,US,Widget,60,4.99,paid
1012,2024-03-15,Priya Nair,AS,Doohickey,30,1.25,paid
1013,2024-03-19,Sidd Chirkute,AS,Sprocket,3,89.00,paid
1014,2024-03-25,Tom Becker,EU,Widget,15,4.99,refunded
1015,2024-03-30,Marco Rossi,EU,Gadget,9,12.50,paid
