id,customer,region,total,paid
1001,Ana Silva,EU,59.88,True
1002,Sidd Chirkute,AS,37.5,True
1003,Marco Rossi,EU,62.5,False
1004,Ana Silva,EU,39.92,True
1005,Zara Khan,US,178.0,False
1006,Sidd Chirkute,AS,124.75,True
1007,Priya Nair,AS,87.5,True
1008,Marco Rossi,EU,89.0,True
1009,Tom Becker,EU,150.0,True
1010,Ana Silva,EU,50.0,False
1011,Zara Khan,US,299.4,True
1012,Priya Nair,AS,37.5,True
1013,Sidd Chirkute,AS,267.0,True
1014,Tom Becker,EU,74.85,False
1015,Marco Rossi,EU,112.5,True
